Food,Price,Category,Desc
Butter Paneer Kulcha Burger,249,Kulcha Burger,"Our Indian touch to burger with regional favourites - kulcha and butter paneer masala is an absolute sensation. This innovative and new age kulcha burger retains its desi core flavour while you enjoy the layers of whole wheat kulcha, paneer masala and sauteed veggies together.

Allergen Information: Contains Dairy, Soy, Gluten, Nut & Seedsless"
Veg Keema Kulcha Burger,239,Kulcha Burger,"Bite into the soft layers of desi kulcha burger, spread with creamy cheese sauce, sauteed veggies like carrots, capsicum, cabbage with tofu, generous filling of flavourful plant protein - soy tofu keema and jalapenos. Rejoice guilt free!

Allergen Information: Contains Gluten, Dairy & Soy less"
Spicy Dilli Kulcha Burger,199,Kulcha Burger,"Wheat kulcha burger layered with creamy chole masala, spicy peri peri spread and veggies with a burst of distinct flavours to make an interesting and satiating meal.
 
Allergen Information: Contains Gluten, Dairy & Soyless"
Peri-Peri Chicken Kulcha Burger,319,Kulcha Burger,"[Energy - 577Cal | Protein - 23gm] Bite into the flavourful layers of our kulcha burger with protein rich chicken keema patty, sauteed veg, whole wheat kulcha and peri peri cheese sauce.

Allergen Information: Contains Gluten, Dairy & Soyless"
Butter Chicken Kulcha Burger,259,Kulcha Burger,"Our Indian touch to burger with regional favourites - kulcha and butter chicken masala is an absolute sensation. This innovative and new age kulcha burger retains it's desi core flavour while you enjoy the layers of whole wheat kulcha, butter chicken masala and sauteed veggies together.
[Grilled Wheat Kulcha, Butter Gravy, Chicken, Sauteed Veggies]

Allergen Information: Dairy, Vinegar, Soy, Gluten, Nut, Seeds, Nutmeg.less"
Veg Manchurian Gravy,198,Chinese Fried Rice & Noodle Bowl,"Nutritious Bajra (pearl millet) balls coated with a flavorful blend of spices and tossed in a tangy Manchurian gravy. A delightful fusion dish combining the goodness of millets with Indo-Chinese flavors.

Allergen Information- Contains Gluten, Soy & Sesame seedless"
Chilli Garlic Paneer,260,Chinese Fried Rice & Noodle Bowl,"An Indo-Chinese dish with a perfect balance of heat and tang. Soft paneer marinated in a spicy blend of chili gravy and stir-fried with peppers, onions, and aromatic spices until crispy and flavorful. 

Allergen Information- Contains Gluten, Dairy, Soy & Sesame seedless"
Chicken Manchurian Gravy,281,Chinese Fried Rice & Noodle Bowl,"Crispy juicy chicken balls coated with a flavorful blend of spices and tossed in Manchurian gravy, a great combination along with hot fried rice and veg noodles.

Allergen Information- Contains Gluten, Egg, Soy & Sesame seedless"
Chilli Garlic Chicken,330,Chinese Fried Rice & Noodle Bowl,"An Indo-Chinese dish with a perfect balance of heat and tang. Succulent chicken pieces marinated in a spicy blend of chili gravy, baked and stir-fried with peppers, onions, and aromatic spices until crispy and flavorful. 

Allergen Information- Contains Gluten, Egg, Soy & Sesame seedless"
Veg Manchurian Hakka Noodles Bowl,284,Chinese Fried Rice & Noodle Bowl,"Chinese stir-fried dish with boiled noodles, sautéed vegetables and soy sauce paired with spicy Bajra Manchurian and kimchi. A flavourfully delicious, quick meal!

Allergen Information- Contains Gluten, Soy, and Sesame seedless"
